Date,Open,High,Low,Close,Adj Close,Volume
2021-08-02,1627.449951,1634.750000,1619.199951,1631.550049,1631.550049,5553389
2021-08-03,1647.000000,1658.650024,1635.599976,1655.199951,1655.199951,5513668
2021-08-04,1669.099976,1679.900024,1639.050049,1649.250000,1649.250000,6740391
2021-08-05,1649.500000,1666.000000,1647.050049,1653.550049,1653.550049,5420536
2021-08-06,1657.000000,1660.650024,1644.000000,1650.199951,1650.199951,3754855
2021-08-09,1661.000000,1667.449951,1646.400024,1663.300049,1663.300049,5018477
2021-08-10,1668.000000,1680.000000,1661.050049,1677.250000,1677.250000,6846517
2021-08-11,1674.800049,1684.000000,1668.000000,1677.550049,1677.550049,4899639
2021-08-12,1679.150024,1696.500000,1674.000000,1689.599976,1689.599976,5659579
2021-08-13,1697.000000,1722.500000,1691.300049,1712.199951,1712.199951,5612790
2021-08-16,1707.699951,1719.949951,1690.099976,1704.400024,1704.400024,4564109
2021-08-17,1703.900024,1748.900024,1686.550049,1741.650024,1741.650024,9510390
2021-08-18,1729.000000,1755.500000,1727.000000,1733.449951,1733.449951,6686090
2021-08-20,1716.099976,1745.000000,1716.099976,1732.949951,1732.949951,6206972
2021-08-23,1735.750000,1753.150024,1732.000000,1738.750000,1738.750000,6189051
2021-08-24,1750.000000,1757.000000,1712.699951,1720.849976,1720.849976,7602939
2021-08-25,1718.000000,1746.900024,1718.000000,1735.550049,1735.550049,6153253
2021-08-26,1734.000000,1746.000000,1720.000000,1727.699951,1727.699951,5302248
2021-08-27,1725.000000,1727.699951,1705.199951,1708.800049,1708.800049,6698514
2021-08-30,1703.050049,1718.650024,1690.400024,1698.050049,1698.050049,6559667
