Date,Open,High,Low,Close,Adj Close,Volume
2021-08-02,299.149994,299.399994,295.600006,296.850006,296.850006,19273390
2021-08-03,298.500000,304.500000,297.700012,303.700012,303.700012,31063992
2021-08-04,304.750000,306.450012,297.200012,298.149994,298.149994,26186248
2021-08-05,295.500000,300.899994,292.750000,299.700012,299.700012,20704901
2021-08-06,300.049988,303.399994,297.649994,300.049988,300.049988,16001898
2021-08-09,300.750000,304.200012,296.049988,298.100006,298.100006,16985859
2021-08-10,297.899994,300.200012,291.000000,294.200012,294.200012,15173990
2021-08-11,295.299988,297.799988,286.450012,295.450012,295.450012,20802022
2021-08-12,297.299988,307.399994,297.299988,306.000000,306.000000,33652880
2021-08-13,308.799988,311.500000,303.049988,307.250000,307.250000,34922863
2021-08-16,305.950012,307.850006,303.049988,303.700012,303.700012,14348786
2021-08-17,302.799988,302.799988,292.799988,297.700012,297.700012,25539214
2021-08-18,296.899994,297.750000,292.600006,293.350006,293.350006,18004320
2021-08-20,289.500000,290.700012,281.000000,283.100006,283.100006,32578752
2021-08-23,287.200012,288.299988,275.000000,276.950012,276.950012,24498294
2021-08-24,278.500000,281.500000,268.450012,279.799988,279.799988,37589121
2021-08-25,282.799988,289.200012,282.450012,284.399994,284.399994,31538128
2021-08-26,284.850006,287.350006,281.649994,284.299988,284.299988,17864053
2021-08-27,282.899994,286.799988,281.700012,285.750000,285.750000,13477390
2021-08-30,290.100006,293.500000,289.899994,291.950012,291.950012,17217097
