Date,Open,High,Low,Close,Adj Close,Volume
2021-08-02,1435.000000,1435.000000,1416.250000,1422.650024,1422.650024,6629393
2021-08-03,1410.000000,1439.900024,1410.000000,1434.699951,1434.699951,6016560
2021-08-04,1441.000000,1474.500000,1440.000000,1465.300049,1465.300049,11026974
2021-08-05,1467.099976,1507.050049,1457.400024,1484.849976,1484.849976,9411204
2021-08-06,1483.550049,1500.000000,1474.000000,1492.650024,1492.650024,6669635
2021-08-09,1492.000000,1507.349976,1476.000000,1503.900024,1503.900024,5499024
2021-08-10,1489.000000,1519.750000,1489.000000,1507.650024,1507.650024,7419173
2021-08-11,1514.900024,1518.849976,1491.050049,1494.949951,1494.949951,6292893
2021-08-12,1497.000000,1507.599976,1489.300049,1501.400024,1501.400024,4298837
2021-08-13,1501.199951,1531.000000,1501.000000,1526.199951,1526.199951,8329214
2021-08-16,1526.150024,1535.000000,1521.449951,1530.599976,1530.599976,3126389
2021-08-17,1517.199951,1524.000000,1505.300049,1514.650024,1514.650024,4141333
2021-08-18,1556.699951,1565.349976,1508.349976,1513.000000,1513.000000,11492966
2021-08-20,1486.050049,1519.800049,1486.050049,1514.750000,1514.750000,6575203
2021-08-23,1529.849976,1533.150024,1508.650024,1524.599976,1524.599976,5421527
2021-08-24,1530.000000,1564.500000,1527.449951,1558.849976,1558.849976,9190657
2021-08-25,1552.099976,1564.800049,1548.000000,1557.400024,1557.400024,3863987
2021-08-26,1550.000000,1571.000000,1543.449951,1554.800049,1554.800049,5559501
2021-08-27,1552.000000,1558.650024,1545.250000,1548.449951,1548.449951,3191069
2021-08-30,1555.599976,1570.000000,1551.599976,1568.250000,1568.250000,4524583
